127.0.0.1 - - [22/Sep/2014:04:10:45 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/ HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/js/jquery.validate.min.js HTTP/1.1" 200 21525
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/js/jquery.tipsy.js HTTP/1.1" 200 10045
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/css/style.css HTTP/1.1" 200 12006
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/css/tipsy.css HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/js/validateindex.js HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:47 -0600] "GET /SocialNetwork/icons/header.jpg HTTP/1.1" 200 23296
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:59 -0600] "POST /SocialNetwork/REST/user/Register HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:10:59 -0600] "GET /SocialNetwork/home.jsp HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:00 -0600] "GET /SocialNetwork/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:00 -0600] "GET /SocialNetwork/js/jquery.validate.min.js HTTP/1.1" 200 21525
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:00 -0600] "GET /SocialNetwork/css/style.css HTTP/1.1" 200 12006
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:00 -0600] "GET /SocialNetwork/icons/FB.png HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:00 -0600] "GET /SocialNetwork/icons/2.png HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:00 -0600] "GET /SocialNetwork/REST/tweet/GetFeeds HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:03 -0600] "POST /SocialNetwork/REST/tweet/PostMessage HTTP/1.1" 303 -
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:03 -0600] "GET /SocialNetwork/home.jsp?msg=success HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [22/Sep/2014:04:11:03 -0600] "GET /SocialNetwork/REST/tweet/GetFeeds HTTP/1.1" 200 136
